route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DBBR-5148,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5149,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5150,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5151,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBBR-5152,DBBR,"Doomben - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A968B4,000000
DBCA-5075,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5076,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5135,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5136,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5147,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5148,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5149,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5150,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5151,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
DBCA-5152,DBCA,"Doomben - Caboolture",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
EXBR-5119,EXBR,"Exhibition - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,A0A0A0,000000
F1-4055,F1,"Northshore Hamilton / UQ St Lucia",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F11-4055,F11,"Apollo Road / Riverside",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F12-4055,F12,"QUT Gardens Point / West End",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F21-4055,F21,"Bulimba / Teneriffe",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F22-4055,F22,"Sydney Street / Dockside",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F23-4055,F23,"Holman Street / Riverside",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F24-4055,F24,"Maritime Museum / QUT Gardens Point",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
F50-4430,F50,"Coochiemudlo Island",,4,https://jp.translink.com.au/plan-your-journey/timetables,00447C,FFFFFF
